Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-29,4.5,4.5,4.44375,4.44375,2189.8666667351
2024-01-02,4.5,4.5,4.44375,4.44375,325.3333333435
2024-01-03,4.5,4.5,4.48125,4.48125,1827.2000000571
2024-01-04,4.4625,4.5,4.4625,4.5,10.666666667
2024-01-05,4.5,4.5,4.40625,4.48125,1383.4666667099
2024-01-08,4.5,4.5,4.48125,4.48125,213.33333334
2024-01-09,4.5,4.5,4.29375,4.48125,2830.9333334218
2024-01-10,4.6875,4.6875,4.65,4.65,115.2000000036
2024-01-11,4.65,4.6875,4.48125,4.6875,4371.2000001366
2024-01-12,4.6875,4.6875,4.5,4.6875,326.4000000102
2024-01-15,4.6875,4.6875,4.425,4.575,2151.4666667339
2024-01-16,4.6875,4.6875,4.575,4.6875,162.1333333384
2024-01-17,4.6875,4.6875,4.575,4.6875,195.2000000061
2024-01-18,4.6875,4.6875,4.575,4.6875,278.4000000087
2024-01-19,4.6875,4.6875,4.6875,4.6875,13.8666666671
2024-01-22,4.6875,4.6875,4.575,4.575,39.4666666679
2024-01-23,4.6875,4.6875,4.6875,4.6875,61.8666666686
2024-01-24,4.6875,4.6875,4.575,4.6875,1511.4666667139
2024-01-25,4.6875,4.6875,4.44375,4.55625,881.0666666942
2024-01-26,4.6875,4.6875,4.55625,4.59375,116.2666666703
2024-01-29,4.6875,4.6875,4.575,4.575,229.3333333405
2024-01-30,4.6875,4.73437,4.575,4.59375,3284.2666667693
2024-01-31,4.6875,4.6875,4.6875,4.6875,10.666666667
2024-02-01,4.6875,4.6875,4.6875,4.6875,514.1333333494
2024-02-02,4.6875,4.6875,4.6875,4.6875,437.333333347
2024-02-05,4.6875,4.6875,4.66875,4.66875,29.8666666676
2024-02-06,4.66875,4.66875,4.6125,4.6125,743.4666666899
2024-02-07,4.66875,4.66875,4.59375,4.59375,476.8000000149
2024-02-08,4.6125,4.6125,4.6125,4.6125,32.000000001
2024-02-09,4.6125,4.66875,4.5375,4.66875,770.1333333574
2024-02-12,4.66875,4.66875,4.66875,4.66875,16.0000000005
2024-02-13,4.65,4.65,4.575,4.65,805.3333333585
2024-02-14,4.66875,4.66875,4.66875,4.66875,14.9333333338
2024-02-15,4.66875,4.66875,4.66875,4.66875,16.0000000005
2024-02-16,4.66875,4.66875,4.66875,4.66875,37.3333333345
2024-02-19,4.65,4.65,4.59375,4.65,1986.1333333954
2024-02-20,4.65,4.65,4.65,4.65,1597.8666667166
2024-02-21,4.66875,4.6875,4.66875,4.6875,856.5333333601
2024-02-22,4.6875,4.6875,4.6875,4.6875,1074.1333333669
2024-02-23,4.6875,5.10937,4.6875,4.96875,11946.66666704
2024-02-26,4.96875,4.96875,4.78125,4.82812,548.2666666838
2024-02-27,4.82812,4.82812,4.5,4.73437,2126.9333333998
2024-02-28,4.78125,4.78125,4.73437,4.73437,90.6666666695
2024-02-29,4.73437,4.875,4.65,4.78125,6625.0666668737
2024-03-01,4.92187,5.0625,4.78125,4.92187,4268.8000001334
2024-03-04,4.92187,5.625,4.92187,5.34375,26506.666667495
2024-03-05,5.39062,5.57812,5.29687,5.57812,7971.2000002491
2024-03-06,5.625,5.85937,5.625,5.71875,9568.000000299
2024-03-07,5.76562,5.76562,5.625,5.71875,592.0000000185
2024-03-08,5.71875,5.71875,5.4375,5.625,4345.6000001358
2024-03-11,5.53125,5.53125,5.4375,5.48437,1127.4666667019
2024-03-12,5.4375,5.48437,5.39062,5.48437,3523.2000001101
2024-03-13,5.57812,5.57812,5.34375,5.34375,1416.5333333776
2024-03-14,5.57812,5.625,5.57812,5.57812,1553.0666667152
2024-03-15,5.625,5.85937,5.625,5.625,4307.2000001346
2024-03-18,5.57812,5.57812,5.53125,5.53125,1954.1333333944
2024-03-19,5.57812,5.57812,5.29687,5.57812,1060.2666666998
2024-03-20,5.57812,5.57812,5.53125,5.53125,115.2000000036
2024-03-21,5.57812,5.71875,5.53125,5.625,11504.000000359
2024-03-22,5.625,5.95312,5.625,5.90625,10738.133333669
2024-03-25,5.90625,5.90625,5.71875,5.90625,2961.0666667592
2024-03-26,5.95312,5.95312,5.71875,5.71875,4684.8000001464
2024-03-27,5.90625,5.90625,5.71875,5.71875,1068.8000000334
2024-03-28,5.90625,5.90625,5.625,5.67187,4754.1333334819
2024-04-02,5.85937,5.85937,5.67187,5.76562,2562.1333334134
2024-04-03,5.85937,5.85937,5.85937,5.85937,2.1333333334
2024-04-04,5.76562,5.85937,5.76562,5.85937,582.4000000182
2024-04-05,5.85937,5.85937,5.85937,5.85937,10.666666667
2024-04-08,5.85937,5.85937,5.71875,5.71875,51.2000000016
2024-04-09,5.71875,5.71875,5.25,5.4375,9486.9333336298
2024-04-10,5.48437,5.48437,5.34375,5.4375,603.7333333522
2024-04-11,5.4375,5.4375,5.20312,5.34375,4336.0000001355
2024-04-12,5.4375,5.4375,5.15625,5.34375,2965.333333426
2024-04-15,5.39062,5.39062,5.0625,5.15625,3554.1333334444
2024-04-16,5.15625,5.15625,5.15625,5.15625,903.4666666949
2024-04-17,5.29687,5.34375,5.0625,5.34375,6523.7333335372
2024-04-18,5.34375,5.34375,5.34375,5.34375,10.666666667
2024-04-19,5.34375,5.34375,5.34375,5.34375,10.666666667
2024-04-22,5.29687,5.34375,5.29687,5.34375,324.2666666768
2024-04-23,5.34375,5.34375,5.29687,5.34375,968.5333333636
2024-04-24,5.34375,5.34375,5.34375,5.34375,1077.333333367
2024-04-25,5.39062,5.4375,5.39062,5.4375,792.5333333581
2024-04-26,5.4375,5.4375,5.4375,5.4375,259.2000000081
2024-04-29,5.625,5.625,5.20312,5.4375,2192.0000000685
2024-04-30,5.39062,5.39062,5.39062,5.39062,2007.4666667294
2024-05-02,5.4375,5.71875,5.4375,5.71875,6071.4666668564
2024-05-06,5.71875,5.71875,5.67187,5.67187,456.5333333476
2024-05-07,5.71875,5.71875,5.53125,5.67187,162.1333333384
2024-05-08,5.71875,5.71875,5.67187,5.71875,330.666666677
2024-05-09,5.76562,5.76562,5.57812,5.71875,28002.133334208
2024-05-10,5.71875,5.71875,5.71875,5.71875,64.000000002
2024-05-13,5.85937,5.85937,5.57812,5.8125,1377.0666667097
2024-05-14,5.85937,5.90625,5.67187,5.71875,5036.8000001574
2024-05-15,5.90625,5.90625,5.71875,5.71875,115.2000000036
2024-05-16,5.71875,5.71875,5.625,5.67187,493.8666666821
2024-05-17,5.71875,5.71875,5.53125,5.53125,1012.2666666983
2024-05-20,5.53125,5.71875,5.53125,5.53125,9899.7333336427
2024-05-21,5.76562,5.76562,5.4375,5.625,378.6666666785
2024-05-22,5.625,5.625,5.625,5.625,10.666666667
2024-05-23,5.625,5.625,5.48437,5.625,1827.2000000571
2024-05-24,5.625,5.625,5.53125,5.53125,1025.0666666987
2024-05-27,5.625,5.67187,5.625,5.625,1975.4666667284
2024-05-28,5.71875,5.71875,5.39062,5.71875,1642.666666718
2024-05-29,5.71875,5.71875,5.625,5.67187,1448.5333333786
2024-05-31,5.71875,5.71875,5.625,5.625,904.5333333616
2024-06-03,5.625,5.67187,5.625,5.67187,588.8000000184
2024-06-04,5.67187,5.67187,5.53125,5.53125,1719.4666667204
2024-06-05,5.53125,5.53125,5.53125,5.53125,698.6666666885
2024-06-06,5.67187,5.67187,5.67187,5.67187,2.1333333334
2024-06-07,5.71875,5.71875,5.48437,5.48437,1548.8000000484
2024-06-10,5.625,5.625,5.625,5.625,12.8000000004
2024-06-11,5.625,5.625,5.625,5.625,2.1333333334
2024-06-12,5.625,5.625,5.625,5.625,2.1333333334
2024-06-13,5.67187,5.67187,5.625,5.625,4.2666666668
2024-06-14,5.53125,5.53125,5.53125,5.53125,2.1333333334
2024-06-17,5.48437,5.48437,5.39062,5.48437,761.6000000238
2024-06-18,5.48437,5.48437,5.48437,5.48437,55.4666666684
2024-06-19,5.48437,5.48437,5.39062,5.48437,518.4000000162
2024-06-20,5.625,5.625,5.625,5.625,40.5333333346
2024-06-21,5.625,5.625,5.625,5.625,149.333333338
2024-06-24,5.71875,5.71875,5.39062,5.4375,3291.7333334362
2024-06-25,5.625,5.625,5.625,5.625,55.4666666684
2024-06-26,5.625,5.625,5.4375,5.4375,215.4666666734
2024-06-27,5.625,5.625,5.625,5.625,2.1333333334
2024-06-28,5.625,5.625,5.625,5.625,2.1333333334
2024-07-01,5.4375,5.4375,4.96875,5.01562,11745.066667034
2024-07-02,5.39062,5.39062,4.92187,4.92187,3283.2000001026
2024-07-03,5.0625,5.0625,4.92187,4.92187,1558.4000000487
2024-07-04,5.0625,5.0625,4.82812,4.82812,8049.0666669182
2024-07-05,5.0625,5.0625,4.78125,4.96875,2189.8666667351
2024-07-08,5.0625,5.0625,5.01562,5.01562,16.0000000005
2024-07-09,5.0625,5.0625,4.73437,4.73437,3328.000000104
2024-07-10,4.96875,4.96875,4.96875,4.96875,10.666666667
2024-07-11,4.96875,4.96875,4.59375,4.6875,4402.1333334709
2024-07-12,4.6875,4.82812,4.575,4.63125,3371.7333334387
2024-07-15,4.63125,4.82812,4.40625,4.55625,5146.6666668275
2024-07-16,4.48125,4.6875,4.48125,4.48125,3491.2000001091
2024-07-17,4.48125,4.48125,4.125,4.125,5685.333333511
2024-07-18,4.3125,4.6875,4.2375,4.25625,11016.533333678
2024-07-19,4.44375,4.44375,4.14375,4.29375,7446.4000002327
2024-07-22,4.29375,4.29375,3.975,3.975,9457.0666669622
2024-07-23,3.99375,3.99375,3.9375,3.9375,1642.666666718
2024-07-24,4.21875,4.21875,4.06875,4.06875,816.0000000255
2024-07-25,4.06875,4.06875,3.9,3.9,1185.0666667037
2024-07-26,4.05,4.05,3.825,3.825,3665.0666667812
2024-07-29,3.7875,3.95625,3.7875,3.9375,868.2666666938
2024-07-30,4.05,4.21875,4.03125,4.03125,506.6666666825
2024-07-31,4.2,4.2,3.9,3.9,540.8000000169
2024-08-01,4.2,4.2,3.9,3.9,585.6000000183
2024-08-02,3.9,3.9,3.73125,3.73125,4164.2666667968
2024-08-05,3.88125,3.88125,3.8625,3.88125,213.33333334
2024-08-06,3.88125,3.88125,3.88125,3.88125,5.3333333335
2024-08-07,3.99375,3.99375,3.8625,3.8625,538.6666666835
2024-08-08,3.99375,3.99375,3.95625,3.95625,182.4000000057
2024-08-09,3.95625,3.95625,3.75,3.75,132.2666666708
2024-08-12,3.95625,4.2,3.9375,4.2,777.6000000243
2024-08-13,4.2,4.25625,4.18125,4.25625,1209.6000000378
2024-08-14,4.25625,4.25625,4.25625,4.25625,174.9333333388
2024-08-16,4.2375,4.2375,3.99375,3.99375,2025.6000000633
2024-08-19,3.99375,4.2375,3.99375,4.0875,3125.333333431
2024-08-20,4.0875,4.2,4.03125,4.18125,855.4666666934
2024-08-21,4.18125,4.2,4.1625,4.2,4241.0666667992
2024-08-22,4.275,4.275,4.21875,4.25625,3034.6666667615
2024-08-23,4.25625,4.29375,4.25625,4.275,7005.8666668856
2024-08-26,4.425,4.425,4.29375,4.29375,389.3333333455
2024-08-27,4.44375,4.48125,4.44375,4.48125,2107.7333333992
2024-08-28,4.48125,4.48125,4.3125,4.4625,116.2666666703
2024-08-29,4.4625,4.5,4.44375,4.5,3736.5333334501
